area,year,Economically Inactive,percent
islington,2010,41900.0,28.6
islington,2011,37500.0,24.4
islington,2012,43600.0,27.5
islington,2013,39400.0,24.6
islington,2014,42500.0,25.9
islington,2015,39900.0,23.6
islington,2016,42700.0,24.8
islington,2017,35400.0,20.3
islington,2018,34600.0,19.7
kensington and chelsea,2004,38600.0,32.3
kensington and chelsea,2005,35800.0,29.4
kensington and chelsea,2006,39600.0,33.5
kensington and chelsea,2007,35400.0,30.3
kensington and chelsea,2008,35000.0,29.8
kensington and chelsea,2009,37900.0,32.1
kensington and chelsea,2010,38200.0,33.1
kensington and chelsea,2011,37400.0,32.9
kensington and chelsea,2012,34500.0,31.0
kensington and chelsea,2013,32400.0,29.5
kensington and chelsea,2014,28300.0,25.8
kensington and chelsea,2015,31700.0,28.9
kensington and chelsea,2016,29300.0,27.1
kensington and chelsea,2017,27300.0,26.1
kensington and chelsea,2018,36600.0,35.2
kingston upon thames,2004,24000.0,23.0
kingston upon thames,2005,24200.0,22.9
kingston upon thames,2006,23600.0,22.2
kingston upon thames,2007,27000.0,25.4
kingston upon thames,2008,25000.0,23.4
kingston upon thames,2009,23200.0,21.6
kingston upon thames,2010,24200.0,22.4
kingston upon thames,2011,28300.0,25.9
kingston upon thames,2012,26600.0,24.2
kingston upon thames,2013,23500.0,21.2
kingston upon thames,2014,23300.0,20.9
kingston upon thames,2015,25200.0,22.3
kingston upon thames,2016,26700.0,23.0
kingston upon thames,2017,24700.0,21.5
kingston upon thames,2018,26900.0,22.4
lambeth,2004,47600.0,24.3
lambeth,2005,54300.0,27.2
lambeth,2006,61200.0,30.2
lambeth,2007,50700.0,24.4
lambeth,2008,50100.0,23.9
lambeth,2009,40500.0,18.7
lambeth,2010,44000.0,20.0
lambeth,2011,40900.0,18.2
lambeth,2012,47700.0,20.9
lambeth,2013,35600.0,15.3
lambeth,2014,34800.0,14.7
lambeth,2015,38900.0,16.4
lambeth,2016,34600.0,14.3
lambeth,2017,36600.0,15.0
lambeth,2018,43400.0,17.8
lewisham,2004,40400.0,23.3
lewisham,2005,41100.0,23.4
lewisham,2006,42100.0,23.7
lewisham,2007,45200.0,24.9
lewisham,2008,42300.0,22.7
lewisham,2009,41600.0,22.0
lewisham,2010,52900.0,27.8
